Date,Close/Last,Volume,Open,High,Low,Day
02/21/2025,1003.15,3738710,1029.42,1032.38,999.39,0
02/20/2025,1024.54,3111831,1042,1045,1015.5941,1
02/19/2025,1043.33,2600048,1035.18,1044.9999,1024.51,2
02/18/2025,1035.85,4229339,1060,1062,1023.749,3
02/14/2025,1058.6,3145430,1044.95,1064.5,1041.69,4
02/13/2025,1043.69,3476068,1026.625,1045.9899,1025.1,5
02/12/2025,1027.31,3388966,1005.49,1027.74,998.3473,6
02/11/2025,1008.08,3331797,1020.79,1022.69,1002.95,7
02/10/2025,1027.6,3296566,1023.05,1032.85,1015.88,8
02/07/2025,1013.93,3212853,1017,1027.76,1005.6701,9
02/06/2025,1015.68,3134293,1007.87,1016.35,1002.61,10
02/05/2025,1011.11,3997733,987.73,1011.825,986.68,11
02/04/2025,994.87,6000137,980.47,1008,978.51,12
02/03/2025,978.94,3724197,973,987.6891,964.375,13
01/31/2025,976.76,3618718,974,990.2892,974,14
01/30/2025,973.24,3867825,986.75,994.59,970.0101,15
01/29/2025,978.15,2930728,980,987.64,968.2345,16
01/28/2025,971.83,3433972,966.71,977.934,957.3,17
01/27/2025,971.89,4634204,971.1,982.27,960.26,18
01/24/2025,977.59,4550397,984.41,986.28,967.68,19
01/23/2025,984.86,7752137,957.81,985,953.9,20
01/22/2025,953.99,14273210,998.025,999,950.76,21
01/21/2025,869.68,9851351,863.53,916.4,854.745,22
01/17/2025,858.1,3617565,859.79,865,852.13,23
01/16/2025,842.37,4028537,860.96,868.98,842.02,24
01/15/2025,848.26,3181383,836.44,850.84,830.41,25
01/14/2025,828.4,3037650,843.2,844.8925,823.519,26
01/13/2025,840.29,3024517,831.525,847.07,829.14,27
01/10/2025,837.69,4803312,866.4,866.41,834.4,28
01/08/2025,875,2347949,880,886.215,873,29
01/07/2025,879.19,2649823,879.38,888,869.11,30
01/06/2025,881.79,3457656,888.76,892.83,871.69,31
01/03/2025,881.05,2970019,893.13,898.83,879.8901,32
01/02/2025,886.73,2315685,895.5,898.58,877,33
12/31/2024,891.32,1875897,901.8,902.68,889.47,34
12/30/2024,900.43,2202970,894.51,908.2299,889.71,35
12/27/2024,907.55,3226158,916.01,918.13,894.5,36
12/26/2024,924.14,2342418,928.4,930.49,915.3,37
12/24/2024,932.12,2320293,915,935.85,911.7,38
12/23/2024,911.45,2339375,913.42,915,899.1001,39
12/20/2024,909.05,4530519,893.21,919.9238,890.4872,40
12/19/2024,902.04,2815512,908.18,912.6215,899,41
12/18/2024,889.55,2938194,919.13,922.44,886.56,42
12/17/2024,919.13,2459456,921.54,928.45,916.42,43
12/16/2024,921.08,2674892,923.94,928.94,919.5,44
12/13/2024,918.87,2485829,916.81,925.55,909.61,45
12/12/2024,925.55,2486197,933.35,934.0886,922.6,46
12/11/2024,936.56,3501691,924.71,941.75,923.08,47
12/10/2024,913.35,2388575,913.76,922.88,909.58,48
12/09/2024,913.69,3350082,928,930.2999,902.59,49
12/06/2024,934.74,2955383,915.23,935.27,912.71,50
12/05/2024,917.87,2835307,917.85,927,911.1075,51
12/04/2024,911.06,2689629,898.05,915.9699,898.05,52
12/03/2024,902.17,2401634,894.36,902.69,888.025,53
12/02/2024,897.74,2388966,887.51,902.34,884.12,54
11/29/2024,886.81,2027237,882.17,892.41,876.68,55
11/27/2024,877.34,2578222,872.06,880.95,858.91,56
11/26/2024,872.6,3138259,867.49,886.36,867.2501,57
11/25/2024,865.59,6014203,902.05,902.05,864.22,58
11/22/2024,897.79,3214020,896,906,893,59
11/21/2024,897.48,4511263,883.93,908,877.24,60
11/20/2024,883.85,4093843,879.98,890.6,868.4,61
11/19/2024,871.32,3814227,839.75,874.49,839.16,62
11/18/2024,847.05,4084081,815.5,848.45,809.3301,63
11/15/2024,823.96,3673720,832.04,832.04,816.49,64
11/14/2024,837.26,3038231,833.67,840.9997,830.02,65
11/13/2024,830.47,2767772,822.615,836.9899,820.5368,66
11/12/2024,819.5,2814064,807.5,820.3697,803.75,67
11/11/2024,805.44,2399150,795.9,806.823,795.565,68
11/08/2024,795.04,1910626,797.36,799.06,788.65,69
11/07/2024,796.54,3295074,781.37,798.22,779.94,70
11/06/2024,780.21,3690817,771.5,781.49,757.38,71
11/05/2024,763.91,2200645,757.35,767.5299,756.27,72
11/04/2024,755.51,1902194,753.14,762.48,749.69,73
11/01/2024,756.1,2996829,753.48,763.7999,747.77,74
10/31/2024,756.03,3057709,753.93,760.7899,752.23,75
10/30/2024,753.74,1722002,758.08,759.79,752.2775,76
10/29/2024,759.44,3660433,751.13,763.88,748.01,77
10/28/2024,749.12,2862405,758.68,758.68,747.88,78
10/25/2024,754.68,2819473,756.17,768.5,753.53,79
10/24/2024,754.55,2642962,751.97,755.82,746.25,80
10/23/2024,749.29,3749007,762.83,763.7899,744.26,81
10/22/2024,764.24,2987252,765.27,769.7,761.12,82
10/21/2024,772.07,6057093,765.76,773,756.6,83
10/18/2024,763.89,15974120,737.64,766.281,736.23,84
10/17/2024,687.65,8926672,704.35,704.4124,677.88,85
10/16/2024,702,2494276,703.43,705.59,697.82,86
10/15/2024,705.98,2932752,712.51,713.4,699.7806,87
10/14/2024,713,2797071,725,726.6196,711.3109,88
10/11/2024,722.79,2299525,734.9,736,721.22,89
10/10/2024,730.29,2767862,723.29,733.85,722.5,90
